student_id,behavioral_cluster,target_academic_impact,avg_daily_usage_hours,sleep_hours_per_night,mental_health_score,addicted_score,conflicts_over_social_media,most_used_platform,gender,intervention_plan
166,3,1,5.4,6.0,6,8,4,TikTok,Male,Mental Health Counseling & Stress Mgmt
169,3,1,5.6,5.8,6,8,4,TikTok,Female,Mental Health Counseling & Stress Mgmt
172,3,1,5.3,5.7,6,8,4,TikTok,Male,Mental Health Counseling & Stress Mgmt
175,3,1,5.7,5.6,6,8,4,TikTok,Female,Mental Health Counseling & Stress Mgmt
178,3,1,5.2,5.5,6,8,4,TikTok,Male,Mental Health Counseling & Stress Mgmt
181,3,1,5.8,5.4,6,8,4,TikTok,Female,Mental Health Counseling & Stress Mgmt
184,3,1,5.1,5.3,6,8,4,TikTok,Male,Mental Health Counseling & Stress Mgmt
187,3,1,5.9,5.2,6,8,4,TikTok,Female,Mental Health Counseling & Stress Mgmt
190,3,1,5.0,5.1,6,8,4,TikTok,Male,Mental Health Counseling & Stress Mgmt
193,3,1,6.0,5.0,6,8,4,TikTok,Female,Mental Health Counseling & Stress Mgmt
196,3,1,4.9,4.9,6,8,4,TikTok,Male,Mental Health Counseling & Stress Mgmt
199,3,1,6.1,4.8,6,8,4,TikTok,Female,Mental Health Counseling & Stress Mgmt
202,3,1,4.8,4.7,6,8,4,TikTok,Male,Mental Health Counseling & Stress Mgmt
205,3,1,6.2,4.6,6,8,4,TikTok,Female,Mental Health Counseling & Stress Mgmt
208,3,1,4.7,4.5,6,8,4,TikTok,Male,Mental Health Counseling & Stress Mgmt
211,3,1,6.3,4.4,6,8,4,TikTok,Female,Mental Health Counseling & Stress Mgmt
214,3,1,4.6,4.3,6,8,4,TikTok,Male,Mental Health Counseling & Stress Mgmt
217,3,1,6.4,4.2,6,8,4,TikTok,Female,Mental Health Counseling & Stress Mgmt
220,3,1,4.5,4.1,6,8,4,TikTok,Male,Mental Health Counseling & Stress Mgmt
222,3,1,5.8,6.5,6,7,3,TikTok,Male,Mental Health Counseling & Stress Mgmt
227,3,1,5.2,6.5,6,6,3,KakaoTalk,Female,Mental Health Counseling & Stress Mgmt
230,3,1,5.5,6.7,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
238,3,1,5.6,6.6,6,7,3,Facebook,Male,Mental Health Counseling & Stress Mgmt
243,3,1,5.1,6.6,6,6,3,KakaoTalk,Female,Mental Health Counseling & Stress Mgmt
246,3,1,5.7,6.4,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
254,3,1,5.4,6.5,6,7,3,Facebook,Male,Mental Health Counseling & Stress Mgmt
259,3,1,5.0,6.7,6,6,3,KakaoTalk,Female,Mental Health Counseling & Stress Mgmt
262,3,1,5.3,6.3,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
270,3,1,5.2,6.4,6,7,3,Facebook,Male,Mental Health Counseling & Stress Mgmt
278,3,1,5.1,6.5,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
286,3,1,5.0,6.6,6,7,3,Facebook,Male,Mental Health Counseling & Stress Mgmt
323,3,1,5.0,7.0,7,6,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
326,3,1,5.5,6.7,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
328,3,1,5.6,6.6,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
331,3,1,5.1,6.7,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
333,3,1,4.8,7.1,7,6,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
336,3,1,5.4,6.8,6,7,3,TikTok,Male,Mental Health Counseling & Stress Mgmt
338,3,1,5.7,6.5,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
343,3,1,4.7,7.2,7,6,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
348,3,1,5.8,6.4,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
358,3,1,5.9,6.3,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
368,3,1,6.0,6.2,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
378,3,1,6.1,6.1,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
388,3,1,6.2,6.0,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
398,3,1,6.3,5.9,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
408,3,1,6.4,5.8,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
418,3,1,6.5,5.7,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
428,3,1,6.6,5.6,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
438,3,1,6.7,5.5,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
448,3,1,6.8,5.4,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
458,3,1,6.9,5.3,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
468,3,1,7.0,5.2,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
478,3,1,7.1,5.1,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
488,3,1,7.2,5.0,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
498,3,1,7.3,4.9,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
501,3,1,6.2,6.3,6,7,3,WhatsApp,Female,Mental Health Counseling & Stress Mgmt
506,3,1,5.5,6.8,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
511,3,1,6.1,6.4,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
516,3,1,5.6,6.7,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
521,3,1,6.0,6.5,6,7,3,WhatsApp,Female,Mental Health Counseling & Stress Mgmt
525,3,1,5.3,6.8,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
526,3,1,5.7,6.6,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
531,3,1,5.9,6.6,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
535,3,1,5.4,6.7,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
536,3,1,5.8,6.5,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
541,3,1,5.8,6.7,6,7,3,WhatsApp,Female,Mental Health Counseling & Stress Mgmt
545,3,1,5.5,6.6,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
546,3,1,5.9,6.4,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
551,3,1,5.7,6.8,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
555,3,1,5.6,6.5,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
556,3,1,6.0,6.3,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
561,3,1,5.6,6.9,6,7,3,WhatsApp,Female,Mental Health Counseling & Stress Mgmt
565,3,1,5.7,6.4,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
566,3,1,6.1,6.2,6,7,3,WhatsApp,Male,Mental Health Counseling & Stress Mgmt
573,3,1,5.5,6.8,6,8,4,TikTok,Female,Mental Health Counseling & Stress Mgmt
577,3,1,5.9,6.7,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
584,3,1,5.8,6.5,6,7,3,WeChat,Male,Mental Health Counseling & Stress Mgmt
590,3,1,5.7,6.8,6,7,3,Twitter,Male,Mental Health Counseling & Stress Mgmt
594,3,1,5.6,6.9,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
596,3,1,5.8,6.7,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
601,3,1,5.5,6.8,6,7,3,WeChat,Female,Mental Health Counseling & Stress Mgmt
607,3,1,5.9,6.6,6,7,3,Twitter,Female,Mental Health Counseling & Stress Mgmt
614,3,1,5.7,6.7,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
618,3,1,5.6,6.8,6,7,3,WeChat,Male,Mental Health Counseling & Stress Mgmt
624,3,1,5.8,6.6,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
628,3,1,5.5,6.8,6,7,3,Twitter,Male,Mental Health Counseling & Stress Mgmt
631,3,1,5.6,6.7,6,7,3,TikTok,Female,Mental Health Counseling & Stress Mgmt
635,3,1,5.7,6.7,6,7,3,WeChat,Female,Mental Health Counseling & Stress Mgmt
641,3,1,5.9,6.5,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
645,3,1,5.3,6.8,6,7,3,Twitter,Female,Mental Health Counseling & Stress Mgmt
648,3,1,5.7,6.6,6,7,3,TikTok,Male,Mental Health Counseling & Stress Mgmt
652,3,1,5.6,6.7,6,7,3,WeChat,Male,Mental Health Counseling & Stress Mgmt
658,3,1,5.8,6.6,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
662,3,1,5.4,6.8,6,7,3,Twitter,Male,Mental Health Counseling & Stress Mgmt
665,3,1,5.6,6.7,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
669,3,1,5.7,6.7,6,7,3,WeChat,Female,Mental Health Counseling & Stress Mgmt
675,3,1,5.9,6.5,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
679,3,1,5.3,6.8,6,7,3,Twitter,Female,Mental Health Counseling & Stress Mgmt
682,3,1,5.8,6.6,6,7,3,TikTok,Male,Mental Health Counseling & Stress Mgmt
686,3,1,5.5,6.8,6,7,3,WeChat,Male,Mental Health Counseling & Stress Mgmt
692,3,1,5.9,6.5,6,7,3,Instagram,Male,Mental Health Counseling & Stress Mgmt
696,3,1,5.5,6.7,6,7,3,Twitter,Male,Mental Health Counseling & Stress Mgmt
699,3,1,5.7,6.6,6,7,3,Instagram,Female,Mental Health Counseling & Stress Mgmt
703,3,1,5.6,6.7,6,7,3,WeChat,Female,Mental Health Counseling & Stress Mgmt
